Date & Time,Title Category
27/9/2024 18:15,Notification of Results
11/9/2024 17:59,DRP
21/8/2024 21:45,DRP
12/8/2024 18:05,DRP
2/8/2024 21:46,DRP
25/7/2024 20:08,DRP
18/7/2024 20:26,AGM
25/6/2024 18:16,Notification of Results
18/6/2024 7:39,AGM
25/4/2024 19:59,Full Yearly Results
25/4/2024 20:04,CD
25/3/2024 18:09,Notification of Results
25/1/2024 19:05,CD
22/12/2023 17:38,Notification of Results
25/10/2023 19:33,Half Yearly Results
25/10/2023 19:41,CD
25/9/2023 17:53,Notification of Results
26/7/2023 19:20,CD
19/7/2023 20:03,AGM
26/6/2023 17:53,Notification of Results
25/5/2023 10:40,CD
27/4/2023 20:39,Full Yearly Results
27/4/2023 20:45,CD
27/3/2023 18:17,Notification of Results
13/3/2023 18:50,DRP
9/2/2023 18:21,DRP
3/2/2023 20:08,DRP
26/1/2023 20:40,DRP
23/12/2022 17:54,Notification of Results
9/12/2022 18:03,DRP
9/11/2022 18:17,DRP
3/11/2022 22:41,DRP
26/10/2022 19:55,Half Yearly Results
26/10/2022 19:59,DRP
26/9/2022 18:42,Notification of Results
8/9/2022 18:36,DRP
8/8/2022 18:17,DRP
2/8/2022 21:10,DRP
25/7/2022 19:27,DRP
19/7/2022 21:19,AGM
1/7/2022 18:00,Notification of Results
14/6/2022 17:58,DRP
12/5/2022 18:01,DRP
6/5/2022 22:04,DRP
26/4/2022 19:45,Full Yearly Results
26/4/2022 20:06,DRP
25/3/2022 18:10,Notification of Results
14/3/2022 19:07,DRP
10/2/2022 18:08,DRP
7/2/2022 18:08,DRP
4/2/2022 20:22,DRP
25/1/2022 19:34,DRP
27/12/2021 22:46,Notification of Results
26/10/2021 19:33,Half Yearly Results
26/10/2021 19:35,CD
24/9/2021 17:53,Notification of Results
27/7/2021 18:40,CD
14/7/2021 18:32,AGM
25/6/2021 17:56,Notification of Results
21/6/2021 7:24,Issue of Pref Offering
15/6/2021 22:15,Results of Pref Offering  $2.640  5:100
3/6/2021 7:29,Launch of Pref Offering
21/5/2021 8:05,Results of Placement & Pref Offering  $2.696
20/5/2021 11:28,CD
29/4/2021 20:00,Full Yearly Results
29/4/2021 20:01,CD
29/3/2021 18:22,Notification of Results
29/1/2021 17:30,CD
