Date & Time,Title Category
6/8/2024 7:46,2024 Half Yearly Results
6/8/2024 7:46,CD
5/7/2024 17:33,Notification of Results
23/4/2024 14:52,AGM
20/2/2024 7:41,2023 Full Yearly Results
20/2/2024 7:47,CD
19/1/2024 17:34,Notification of Results
4/8/2023 7:36,2023 Half Yearly Results
4/8/2023 7:37,CD
3/7/2023 17:32,Notification of Results
8/5/2023 18:25,AGM
21/2/2023 7:25,2022 Full Yearly Results
21/2/2023 7:26,CD
20/1/2023 17:32,Notification of Results
5/8/2022 7:23,2022 Half Yearly Results
5/8/2022 7:24,CD
19/7/2022 7:19,Profit Guidance
4/7/2022 17:31,Notification of Results
10/5/2022 18:25,AGM
23/2/2022 7:21,2021 Full Yearly Results
23/2/2022 7:22,CD
21/1/2022 17:26,Notification of Results
6/8/2021 7:38,2021 Half Yearly Results
6/8/2021 7:45,CD
2/8/2021 7:26,Profit Guidance
6/7/2021 17:56,Notification of Results
18/5/2021 18:02,AGM
23/2/2021 7:37,2020 Full Yearly Results
23/2/2021 22:14,CD
22/1/2021 17:32,Notification of Results
